City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Ewa Beach,US,80.55,broken clouds,21.3156,-158.0072,Uncle Junior Robert
588,Manokwari,ID,80.04,light rain,-0.8667,134.0833,Swiss Belhotel Manokwari
591,Wawa,NG,77.97,clear sky,9.9022,4.4192,
592,Kendari,ID,77.02,overcast clouds,-3.945,122.4989,Hotel Wixel
596,Kualakapuas,ID,73.56,broken clouds,-3.0091,114.3876,Guest House Izonk
597,Tautira,PF,75.22,overcast clouds,-17.7333,-149.15,Pension Oaoa
602,Ambilobe,MG,74.95,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
604,Iralaya,HN,78.42,clear sky,15.0,-83.2333,Iglesia morava renovada
607,Sambava,MG,75.42,overcast clouds,-14.2667,50.1667,Melrose
609,Pekan,MY,75.31,scattered clouds,3.4836,103.3996,Pekan Budget Hotel
611,Kathu,TH,73.22,few clouds,7.9178,98.3332,Novotel Phuket Resort
614,Calama,CL,75.69,clear sky,-22.4667,-68.9333,Diego De Almagro Calama
615,Rio Grande,BR,77.95,very heavy rain,-32.035,-52.0986,Hotel Atlântico Rio Grande
617,Sawtell,AU,73.18,overcast clouds,-30.3833,153.1,The Bungalow Sawtell
619,Rocha,UY,76.33,light rain,-34.4833,-54.3333,Hotel Arrarte
627,Saint-Georges,GD,78.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
628,Popondetta,PG,81.3,overcast clouds,-8.7537,148.2534,Timos Transit House
633,Machali,CL,79.88,clear sky,-34.1833,-70.6667,Mining House
636,Lisala,CD,70.59,broken clouds,2.15,21.5167,Flat hôtel tozelaka
642,Mercedes,AR,80.92,light rain,-34.6515,-59.4307,Posada del Inti Centro
643,Thinadhoo,MV,82.81,overcast clouds,0.5333,72.9333,
650,Minna,NG,82.11,haze,9.6139,6.5569,Royal Park hotel & suites
651,Santo Tomas,PH,77.25,scattered clouds,14.1079,121.1414,Microtel by Wyndham Batangas
662,Kundiawa,PG,71.91,broken clouds,-6.0167,144.9667,Pari
665,Bowen,AU,77.22,broken clouds,-20.0167,148.2333,Castle Motor Lodge Motel
666,Ikwiriri,TZ,73.98,light rain,-7.9562,38.9716,Greenland lodge
667,San Rafael,AR,91.94,clear sky,-34.6177,-68.3301,Hotel San Rafael
670,Harper,LR,77.77,clear sky,4.375,-7.7169,Screensaver
671,Malakal,SS,75.36,broken clouds,9.5334,31.6605,Nile Palace Hotel
672,Paraiso,CR,76.06,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
677,Axim,GH,78.28,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
678,Quatre Cocos,MU,81.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
679,Wellington,NZ,70.77,overcast clouds,-41.2866,174.7756,CityLife Wellington
686,Tiarei,PF,80.85,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
687,Nisia Floresta,BR,78.67,clear sky,-6.0911,-35.2086,Rancho Crepusculo
689,Sinait,PH,74.88,scattered clouds,17.8664,120.4583,Farmville Resort
693,Trairi,BR,78.87,broken clouds,-3.2778,-39.2689,janelas do mar
694,Tomatlan,MX,82.53,scattered clouds,19.9333,-105.25,El Salvial
699,Catole Do Rocha,BR,81.07,scattered clouds,-6.3439,-37.7467,"Berço da Civilização Ocidental, Epicentro da Terra, Origem de Toda a Cultura Asteca, Inca, Maia, Pigmeu"
700,Caravelas,BR,76.93,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
